iter	MultiClass
614	0.3087827444
615	0.3086778933
616	0.3086738081
617	0.3086005202
618	0.3085041495
619	0.3084515601
620	0.3084246738
621	0.3082958965
622	0.3081187465
623	0.3080462009
624	0.3078959177
625	0.3077399702
626	0.3076769226
627	0.3075400568
628	0.3075083483
629	0.307481918
630	0.3074434792
631	0.3073958839
632	0.3072298011
633	0.3071808653
634	0.3071283824
635	0.3070779461
636	0.307029252
637	0.307012243
638	0.3069354259
639	0.3068764284
640	0.3067374282
641	0.3066615596
642	0.3066416988
643	0.306521731
644	0.3064815218
645	0.3063730495
646	0.3061689024
647	0.3060907266
648	0.3058218367
649	0.3057292025
650	0.3054339637
651	0.3054171194
652	0.3052690364
653	0.305140028
654	0.3051004744
655	0.3049261647
656	0.3048282363
657	0.3048133338
658	0.304695623
659	0.3045333668
660	0.3044087229
661	0.3043844957
662	0.3042452151
663	0.3042131606
664	0.3041396433
665	0.3040396639
666	0.3039951265
667	0.303947355
668	0.3038790606
669	0.3038061538
670	0.3036877783
671	0.3036498022
672	0.3035773013
673	0.3034413385
674	0.3033846072
675	0.303261395
676	0.3032400578
677	0.3031974108
678	0.3031878661
679	0.3031522354
680	0.3030925025
681	0.3029921961
682	0.3029025867
683	0.3028822169
684	0.3028530162
685	0.3027138368
686	0.3025488297
687	0.3025030715
688	0.3024527117
689	0.3023992074
690	0.3022618653
691	0.3021030186
692	0.3020175586
693	0.301818592
694	0.3017723757
695	0.3017070393
696	0.3015704535
697	0.301523845
698	0.3014887176
699	0.3012962822
700	0.3011544987
701	0.3011331266
702	0.3011183427
703	0.3008276
704	0.3007806404
705	0.3006075827
706	0.3005297908
707	0.3004633447
708	0.3004211449
709	0.3002356362
710	0.3002135441
711	0.3001740843
712	0.3000290148
713	0.2997752113
714	0.2996236904
715	0.2995198422
716	0.2994471627
717	0.2992820112
718	0.2992503457
719	0.2992457705
720	0.2991923272
721	0.2990752474
722	0.2989753424
723	0.2989687049
724	0.2988652863
725	0.2987997339
726	0.2987162082
727	0.2986397344
728	0.2985053302
729	0.2984314383
730	0.2984076737
731	0.2983317545
732	0.2982280963
733	0.2981337518
734	0.2981237831
735	0.2980809687
736	0.2979152708
737	0.297870502
738	0.2977562693
739	0.2976302819
740	0.2975682829
741	0.297495976
742	0.297436024
743	0.2972988978
744	0.2972626672
745	0.2971895447
746	0.2970921783
747	0.2970636615
748	0.297048159
749	0.2970122692
750	0.2968774821
751	0.2967804839
752	0.2967453039
753	0.2966520181
754	0.2966341433
755	0.2965581976
756	0.2965264173
757	0.2965120163
758	0.296358929
759	0.2963267061
760	0.2962632876
761	0.2961557176
762	0.2961164281
763	0.2960926734
764	0.2960610138
765	0.2960424316
766	0.295903186
767	0.2957600503
768	0.295656366
769	0.2955837852
770	0.295437769
771	0.2953482937
772	0.295188463
773	0.295179949
774	0.2951581223
775	0.2951228739
776	0.2951049983
777	0.2950177894
778	0.2949330494
779	0.2948529585
780	0.2947340286
781	0.2945170896
782	0.2944487375
783	0.294412859
784	0.2943633923
785	0.2943286295
786	0.2942741331
787	0.2942474025
788	0.2942132061
789	0.2940638111
790	0.2939911395
791	0.2939545771
792	0.293842774
793	0.293698875
794	0.2936576347
795	0.2935445674
796	0.2933820597
797	0.2932611443
798	0.2931881726
799	0.2931685105
800	0.293060149
801	0.292976318
802	0.2929153862
803	0.2928174402
804	0.2928068275
805	0.2927297929
806	0.2926361411
807	0.2925209942
808	0.2924867023
809	0.2923781057
810	0.2922797917
811	0.292248548
812	0.2921429803
813	0.2921103574
814	0.2920547383
815	0.2920004877
816	0.2918415326
817	0.2917898232
818	0.2916253454
819	0.2915760581
820	0.2915562599
821	0.2914087864
822	0.2913742449
823	0.2913539008
824	0.2913255958
825	0.2912875447
826	0.2912375427
827	0.2911882894
828	0.2911633011
829	0.2911522753
830	0.2910637477
831	0.2910336577
832	0.2910223905
833	0.2909944057
834	0.2909175651
835	0.290892336
836	0.2908658316
837	0.290810462
838	0.2907555357
839	0.290723566
840	0.2906896794
841	0.2905041638
842	0.290455989
843	0.2904447281
844	0.2904269072
845	0.2903709268
846	0.2901966217
847	0.2900939938
848	0.2900640714
849	0.2900517984
850	0.2899993912
851	0.2899794469
